date,county,state,fips,cases,deaths
21-01-2020,Snohomish,Washington,53061,1,0
22-01-2020,Snohomish,Washington,53061,1,0
23-01-2020,Snohomish,Washington,53061,1,0
24-01-2020,Cook,Illinois,17031,1,0
24-01-2020,Snohomish,Washington,53061,1,0
25-01-2020,Orange,California,6059,1,0
25-01-2020,Cook,Illinois,17031,1,0
25-01-2020,Snohomish,Washington,53061,1,0
26-01-2020,Maricopa,Arizona,4013,1,0
26-01-2020,Los Angeles,California,6037,1,0
26-01-2020,Orange,California,6059,1,0
26-01-2020,Cook,Illinois,17031,1,0
26-01-2020,Snohomish,Washington,53061,1,0
27-01-2020,Maricopa,Arizona,4013,1,0
27-01-2020,Los Angeles,California,6037,1,0
27-01-2020,Orange,California,6059,1,0
27-01-2020,Cook,Illinois,17031,1,0
27-01-2020,Snohomish,Washington,53061,1,0
28-01-2020,Maricopa,Arizona,4013,1,0
28-01-2020,Los Angeles,California,6037,1,0
28-01-2020,Orange,California,6059,1,0
28-01-2020,Cook,Illinois,17031,1,0
28-01-2020,Snohomish,Washington,53061,1,0
29-01-2020,Maricopa,Arizona,4013,1,0
29-01-2020,Los Angeles,California,6037,1,0
29-01-2020,Orange,California,6059,1,0
29-01-2020,Cook,Illinois,17031,1,0
29-01-2020,Snohomish,Washington,53061,1,0
30-01-2020,Maricopa,Arizona,4013,1,0
30-01-2020,Los Angeles,California,6037,1,0
30-01-2020,Orange,California,6059,1,0
30-01-2020,Cook,Illinois,17031,2,0
30-01-2020,Snohomish,Washington,53061,1,0
31-01-2020,Maricopa,Arizona,4013,1,0
31-01-2020,Los Angeles,California,6037,1,0
31-01-2020,Orange,California,6059,1,0
31-01-2020,Santa Clara,California,6085,1,0
31-01-2020,Cook,Illinois,17031,2,0
31-01-2020,Snohomish,Washington,53061,1,0
01-02-2020,Maricopa,Arizona,4013,1,0
01-02-2020,Los Angeles,California,6037,1,0
01-02-2020,Orange,California,6059,1,0
01-02-2020,Santa Clara,California,6085,1,0
01-02-2020,Cook,Illinois,17031,2,0
01-02-2020,Suffolk,Massachusetts,25025,1,0
01-02-2020,Snohomish,Washington,53061,1,0
02-02-2020,Maricopa,Arizona,4013,1,0
02-02-2020,Los Angeles,California,6037,1,0
02-02-2020,Orange,California,6059,1,0
02-02-2020,San Francisco,California,6075,2,0
02-02-2020,Santa Clara,California,6085,2,0
